trial_id,t,theta_deg,omega,sensor_ax
T01,1.7,-0.9009,-0.7048,0.0019
T01,1.71,-1.2881,-0.7007,-0.0146
T01,1.72,-1.5392,-0.6951,0.0155
T01,1.73,-1.8504,-0.688,-0.0147
T01,1.74,-2.2533,-0.6793,-0.0109
T01,1.75,-2.5275,-0.6693,-0.0401
T01,1.76,-3.0682,-0.6577,-0.0117
T01,1.77,-3.1506,-0.6448,-0.0515
T01,1.78,-3.8566,-0.6305,-0.035
T01,1.79,-3.6131,-0.6148,0.0116
T01,1.8,-4.3759,-0.5978,0.0118
T01,1.81,-5.0059,-0.5796,0.0043
T01,1.82,-5.3711,-0.5601,-0.0238
T01,1.83,-5.371,-0.5394,-0.0057
T01,1.84,-5.8104,-0.5176,-0.0051
T01,1.85,-5.9081,-0.4947,-0.0284
T01,1.86,-6.2277,-0.4708,0.0246
T01,1.87,-6.5942,-0.4458,0.0118
T01,1.88,-6.9914,-0.42,-0.0104
T01,1.89,-7.3523,-0.3932,-0.0056
T01,1.9,-7.3501,-0.3657,-0.0022
T01,1.91,-7.2848,-0.3374,-0.0473
T01,1.92,-7.5921,-0.3084,-0.0116
T01,1.93,-8.0458,-0.2788,-0.0204
T01,1.94,-7.9066,-0.2486,-0.027
T01,1.95,-7.9912,-0.218,-0.0127
T01,1.96,-8.3543,-0.1869,0.0288
T01,1.97,-8.238,-0.1555,0.0056
T01,1.98,-8.3302,-0.1237,-0.0187
T01,1.99,-8.6252,-0.0918,0.0041
T01,2.0,-8.3615,-0.0597,0.0206
T01,2.01,-8.3388,-0.0276,0.0111
T01,2.02,-8.2339,0.0046,-0.0062
T01,2.03,-8.2209,0.0367,-0.0203
T01,2.04,-8.67,0.0687,0.0066
T01,2.05,-8.5266,0.1005,0.0006
T01,2.06,-8.1625,0.132,0.0107
T01,2.07,-8.0713,0.1631,0.0056
T01,2.08,-7.962,0.1939,0.014
T01,2.09,-7.168,0.2241,-0.0176
T01,2.1,-7.6809,0.2539,0.0195
T01,2.11,-7.4077,0.283,-0.0027
T01,2.12,-7.2674,0.3115,0.035
T01,2.13,-7.1353,0.3392,-0.0201
T01,2.14,-7.1205,0.3662,0.0286
T01,2.15,-6.6826,0.3923,-0.002
T01,2.16,-6.7513,0.4175,-0.0188
T01,2.17,-6.3925,0.4418,-0.0152
T01,2.18,-6.1771,0.4651,-0.0117
T01,2.19,-5.7859,0.4873,0.0034
T01,2.2,-5.0493,0.5084,0.0056
T01,2.21,-5.5842,0.5283,-0.016
T01,2.22,-4.7611,0.5471,-0.0048
T01,2.23,-4.8984,0.5647,0.0389
T01,2.24,-4.3383,0.581,0.0308
T01,2.25,-3.6854,0.596,0.0053
T01,2.26,-3.5418,0.6097,-0.0023
T01,2.27,-3.4144,0.622,-0.0004
T01,2.28,-2.9798,0.633,0.0098
T01,2.29,-2.3331,0.6426,-0.0226
T01,2.3,-2.2427,0.6507,-0.007
T01,2.31,-1.6769,0.6574,-0.0349
T01,2.32,-1.3315,0.6627,0.0068
T01,2.33,-1.0891,0.6665,0.0121
T01,2.34,-0.1468,0.6689,-0.0102
T01,2.35,-0.0649,0.6698,0.0313
T01,2.36,-0.213,0.6692,-0.0243
T01,2.37,0.6119,0.6672,-0.0288
T01,2.38,0.823,0.6637,0.0053
T01,2.39,1.5038,0.6588,0.0221
T01,2.4,1.5493,0.6525,0.0352
T01,2.41,2.055,0.6448,-0.0074
T01,2.42,2.544,0.6356,0.0237
T01,2.43,2.9752,0.6251,0.0017
T01,2.44,2.9143,0.6133,-0.0007
T01,2.45,3.4324,0.6001,0.0207
T01,2.46,3.741,0.5857,0.0164
T01,2.47,4.0331,0.57,-0.0279
T01,2.48,4.835,0.553,0.0334
T01,2.49,4.8708,0.5349,0.0318
T01,2.5,4.8345,0.5157,-0.0081
T01,2.51,5.5556,0.4954,0.0126
T01,2.52,6.0697,0.474,0.0148
T01,2.53,6.1121,0.4517,0.0104
T01,2.54,5.8489,0.4283,-0.0056
T01,2.55,6.2892,0.4041,-0.0079
T01,2.56,6.8585,0.3791,0.0053
T01,2.57,6.6678,0.3533,0.0294
T01,2.58,7.0872,0.3267,0.017
T01,2.59,7.3268,0.2995,-0.0012
T01,2.6,7.1441,0.2717,0.0218
T01,2.61,7.459,0.2433,-0.0505
T01,2.62,6.9475,0.2144,0.0296
T01,2.63,7.499,0.1851,-0.0281
T01,2.64,7.7445,0.1555,-0.0004
T01,2.65,7.6195,0.1256,-0.0155
T01,2.66,8.2522,0.0954,-0.019
T01,2.67,7.6791,0.0651,0.0302
T01,2.68,7.8991,0.0347,-0.0024
T01,2.69,8.0178,0.0043,0.0139
T01,2.7,8.267,-0.0261,0.006
T01,2.71,7.6613,-0.0563,0.0165
T01,2.72,8.1336,-0.0864,0.0084
T01,2.73,7.8384,-0.1163,-0.0188
T01,2.74,7.5584,-0.1458,0.0267
T01,2.75,7.7488,-0.175,-0.0032
T01,2.76,7.5813,-0.2038,-0.0246
T01,2.77,7.2903,-0.2321,-0.0021
T01,2.78,7.2773,-0.2598,0.0364
T01,2.79,7.0236,-0.2869,0.0232
T01,2.8,6.9456,-0.3133,-0.0009
T01,2.81,6.8627,-0.339,-0.0011
T01,2.82,6.8405,-0.3639,-0.0007
T01,2.83,6.055,-0.388,0.047
T01,2.84,6.495,-0.4112,0.0129
T01,2.85,5.4309,-0.4335,0.0137
T01,2.86,5.5317,-0.4548,0.0255
T01,2.87,5.4088,-0.4751,0.0094
T01,2.88,5.0653,-0.4943,-0.0008
T01,2.89,4.5921,-0.5123,0.0002
T01,2.9,4.3727,-0.5293,0.0024
T01,2.91,4.0043,-0.545,0.0028
T01,2.92,3.6653,-0.5596,0.0179
T01,2.93,3.6256,-0.5729,0.0041
T01,2.94,3.1925,-0.5849,0.0174
T01,2.95,2.6418,-0.5957,0.0008
T01,2.96,2.6141,-0.6051,0.0037
T01,2.97,2.1447,-0.6132,-0.0381
T01,2.98,1.8909,-0.6199,0.0198
T01,2.99,1.4962,-0.6253,0.0081
T01,3.0,0.844,-0.6293,0.0208
T01,3.01,0.5357,-0.6319,-0.0574
T01,3.02,0.4343,-0.6332,0.042
T01,3.03,0.044,-0.633,-0.0029
T01,3.04,-0.4443,-0.6315,0.0218
T01,3.05,-0.7772,-0.6286,-0.0215
T01,3.06,-0.9034,-0.6244,0.0112
T01,3.07,-1.6323,-0.6188,-0.0224
T01,3.08,-1.7558,-0.6118,-0.0141
T01,3.09,-2.2522,-0.6036,0.0364
T01,3.1,-2.5964,-0.594,-0.006
T01,3.11,-2.6682,-0.5832,0.0018
T01,3.12,-3.051,-0.5711,0.0146
T01,3.13,-3.374,-0.5577,0.0068
T01,3.14,-3.588,-0.5432,-0.0004
T01,3.15,-4.1484,-0.5276,0.0037
T01,3.16,-4.3101,-0.5108,0.0442
T01,3.17,-4.7923,-0.4929,-0.0053
T01,3.18,-4.9384,-0.474,-0.0003
T01,3.19,-5.2909,-0.454,0.0164
T01,3.2,-5.4952,-0.4332,0.0173
T01,3.21,-5.6328,-0.4114,0.0187
T01,3.22,-6.1399,-0.3887,0.0076
T01,3.23,-5.7687,-0.3653,-0.0283
T01,3.24,-6.5855,-0.341,0.0271
T01,3.25,-6.8101,-0.3161,-0.0287
T01,3.26,-6.5039,-0.2906,0.0002
T01,3.27,-6.7305,-0.2644,-0.0211
T01,3.28,-6.9021,-0.2377,-0.0074
T01,3.29,-7.0238,-0.2106,0.0003
T01,3.3,-7.2587,-0.183,0.0001
T01,3.31,-7.5264,-0.1551,0.002
T01,3.32,-7.4065,-0.1268,0.0258
T01,3.33,-7.6154,-0.0984,0.0025
T01,3.34,-7.3268,-0.0698,-0.0114
T01,3.35,-7.5768,-0.0411,0.0127
T01,3.36,-7.7214,-0.0123,0.0172
T01,3.37,-7.6131,0.0164,-0.0311
T01,3.38,-7.4423,0.0451,0.0054
T01,3.39,-7.5974,0.0736,0.0075
T01,3.4,-7.5926,0.1019,-0.0124
T01,3.41,-7.3068,0.1299,0.0211
T01,3.42,-7.2181,0.1576,-0.0093
T01,3.43,-7.2643,0.185,-0.0037
T01,3.44,-7.1375,0.2118,-0.0096
T01,3.45,-6.8621,0.2382,-0.0057
T01,3.46,-7.0485,0.264,-0.0278
T01,3.47,-6.8763,0.2892,-0.0346
T01,3.48,-6.5604,0.3137,0.0263
T01,3.49,-6.2675,0.3375,-0.0224
T01,3.5,-5.9576,0.3605,-0.0251
T01,3.51,-5.5069,0.3826,-0.0481
T01,3.52,-5.4003,0.404,-0.0176
T01,3.53,-5.3619,0.4244,-0.0311
T01,3.54,-5.0806,0.4438,0.0284
T01,3.55,-5.0136,0.4622,0.016
T01,3.56,-4.543,0.4796,-0.0177
T01,3.57,-4.3139,0.496,0.0413
T01,3.58,-3.8996,0.5112,0.0162
T01,3.59,-3.8294,0.5253,-0.0097
T01,3.6,-3.2525,0.5382,-0.0529
T01,3.61,-2.7353,0.5499,0.0432
T01,3.62,-2.7431,0.5604,-0.0302
T01,3.63,-2.3151,0.5697,-0.035
T01,3.64,-1.9268,0.5777,0.0186
T01,3.65,-1.8105,0.5844,0.0473
T01,3.66,-1.3476,0.5899,0.0265
T01,3.67,-1.0497,0.594,0.0104
T01,3.68,-0.6907,0.5969,0.0113
T01,3.69,-0.5219,0.5984,0.0167
T01,3.7,-0.0192,0.5987,0.0152
T01,3.71,0.4181,0.5976,0.0059
T01,3.72,0.9501,0.5953,0.0027
T01,3.73,1.1911,0.5916,-0.0004
T01,3.74,1.7666,0.5867,-0.0139
T01,3.75,1.5156,0.5805,-0.0042
T01,3.76,2.1726,0.573,-0.0321
T01,3.77,2.3588,0.5643,0.0001
T01,3.78,3.0786,0.5544,-0.0175
T01,3.79,2.7912,0.5433,-0.0195
T01,3.8,3.0901,0.531,0.0064
T01,3.81,3.4359,0.5176,0.0309
T01,3.82,3.4204,0.5031,0.0217
T01,3.83,4.0205,0.4876,-0.0278
T01,3.84,4.2449,0.4709,-0.016
T01,3.85,4.6879,0.4533,0.0229
T01,3.86,4.9766,0.4348,-0.0154
T01,3.87,5.5229,0.4153,-0.0
T01,3.88,5.5655,0.3949,0.0157
T01,3.89,5.4757,0.3737,-0.0145
T01,3.9,5.6145,0.3518,0.0072
T01,3.91,6.0827,0.3291,-0.0215
T01,3.92,5.8971,0.3057,-0.0067
T01,3.93,6.6905,0.2817,0.0119
T01,3.94,6.7092,0.2571,-0.0262
T01,3.95,6.5141,0.232,0.0146
T01,3.96,6.3854,0.2065,0.0055
T01,3.97,7.104,0.1805,0.017
T01,3.98,6.9005,0.1542,0.0105
T01,3.99,7.2459,0.1276,0.0334
T01,4.0,6.739,0.1007,0.0087
T01,4.01,6.9821,0.0737,-0.0024
T01,4.02,7.1316,0.0466,0.0087
T01,4.03,7.1529,0.0194,0.0171
T01,4.04,7.0508,-0.0078,0.0072
T01,4.05,7.2472,-0.0349,0.007
T01,4.06,6.8754,-0.0619,-0.0079
T01,4.07,7.0114,-0.0887,-0.0071
T01,4.08,6.9997,-0.1153,-0.022
T01,4.09,6.9991,-0.1416,0.041
T01,4.1,6.9442,-0.1675,-0.0189
T01,4.11,6.468,-0.1931,-0.008
T01,4.12,6.2628,-0.2181,-0.0086
T01,4.13,6.6877,-0.2427,0.0235
T01,4.14,6.3474,-0.2667,-0.0004
T01,4.15,5.9665,-0.29,0.0303
T01,4.16,6.2487,-0.3127,-0.0083
T01,4.17,5.7713,-0.3347,0.0106
T01,4.18,5.7814,-0.3559,-0.0119
T01,4.19,5.3448,-0.3763,0.0476
T01,4.2,5.5178,-0.3958,-0.0193
T01,4.21,5.2204,-0.4144,0.0104
T01,4.22,4.573,-0.4321,0.0167
T01,4.23,4.561,-0.4489,0.0121
T01,4.24,4.2304,-0.4646,-0.0001
T01,4.25,4.1013,-0.4793,0.0007
T01,4.26,3.353,-0.4929,0.004
T01,4.27,3.3942,-0.5055,-0.0001
T01,4.28,3.1732,-0.5169,0.0219
T01,4.29,2.3083,-0.5271,0.0465
T01,4.3,2.1166,-0.5362,-0.0091
T01,4.31,1.634,-0.5441,-0.0256
T01,4.32,1.6727,-0.5509,-0.0003
T01,4.33,1.5515,-0.5564,0.0528
T01,4.34,1.3874,-0.5606,-0.0151
T01,4.35,0.7788,-0.5637,0.0334
T01,4.36,0.7656,-0.5655,0.0339
T01,4.37,-0.1606,-0.5661,-0.011
T01,4.38,-0.5494,-0.5654,0.0112
T01,4.39,-0.543,-0.5636,0.0321
T01,4.4,-0.7766,-0.5605,-0.0083
T01,4.41,-1.1791,-0.5561,-0.0051
T01,4.42,-1.902,-0.5506,-0.0129
T01,4.43,-1.8186,-0.5439,-0.0219
T01,4.44,-2.3695,-0.536,-0.0148
T01,4.45,-2.2773,-0.527,-0.0266
T01,4.46,-2.6349,-0.5168,-0.0017
T01,4.47,-3.1867,-0.5055,-0.018
T01,4.48,-3.385,-0.4931,0.0018
T01,4.49,-3.77,-0.4797,-0.0342
T01,4.5,-3.8384,-0.4653,0.0033
T01,4.51,-3.8937,-0.4498,0.0131
T01,4.52,-4.5315,-0.4335,-0.0437
T01,4.53,-4.4733,-0.4162,0.0035
T01,4.54,-4.9095,-0.398,0.0204
T01,4.55,-5.1805,-0.3789,-0.0286
T01,4.56,-5.2506,-0.3591,0.0289
T01,4.57,-5.6317,-0.3386,0.0036
T01,4.58,-5.7187,-0.3173,-0.019
T01,4.59,-6.0184,-0.2954,-0.0062
T01,4.6,-5.5438,-0.2729,0.006
T01,4.61,-6.0744,-0.2498,-0.0038
T01,4.62,-6.3526,-0.2262,0.0054
T01,4.63,-6.2874,-0.2021,-0.0239
T01,4.64,-6.4562,-0.1777,-0.0022
T01,4.65,-6.5672,-0.1529,-0.034
T01,4.66,-6.4752,-0.1278,-0.008
T01,4.67,-6.507,-0.1025,-0.0239
T01,4.68,-6.8104,-0.077,-0.0206
T01,4.69,-6.8507,-0.0514,0.0188
T01,4.7,-6.807,-0.0257,0.0159
T01,4.71,-7.214,0.0,0.0063
T01,4.72,-7.0437,0.0257,-0.0277
T01,4.73,-6.4396,0.0513,-0.0122
T01,4.74,-6.3418,0.0767,0.0184
T01,4.75,-6.6639,0.1019,-0.0029
T01,4.76,-6.4277,0.1268,0.0407
T01,4.77,-6.3956,0.1514,0.0022
T01,4.78,-5.743,0.1757,-0.0017
T01,4.79,-6.0221,0.1995,-0.0116
T01,4.8,-6.1454,0.2229,-0.0027
T01,4.81,-6.1717,0.2457,-0.0083
T01,4.82,-6.1497,0.268,0.0091
T01,4.83,-5.6232,0.2896,0.0142
T01,4.84,-5.6386,0.3106,-0.0205
T01,4.85,-5.5835,0.3308,-0.0312
T01,4.86,-5.2288,0.3503,-0.0412
T01,4.87,-5.1055,0.369,0.0059
T01,4.88,-4.3312,0.3869,-0.0261
T01,4.89,-4.2619,0.4039,-0.0469
T01,4.9,-4.2002,0.42,0.0041
T01,4.91,-3.6542,0.4351,0.0464
T01,4.92,-3.6781,0.4493,-0.0033
T01,4.93,-3.6016,0.4625,0.0138
T01,4.94,-2.8535,0.4746,-0.0011
T01,4.95,-2.7726,0.4857,-0.0045
T01,4.96,-2.8044,0.4957,0.0161
T01,4.97,-2.3463,0.5046,-0.0078
T01,4.98,-2.1901,0.5124,0.0036
T01,4.99,-1.9944,0.5191,0.0049
T01,5.0,-1.2322,0.5247,-0.0146
T01,5.01,-0.7326,0.529,0.0189
T01,5.02,-1.0893,0.5322,-0.0042
T01,5.03,-0.3909,0.5343,-0.0156
T01,5.04,-0.3269,0.5352,0.0106
T01,5.05,0.0125,0.5349,-0.0179
T01,5.06,0.2973,0.5335,0.0009
T01,5.07,0.5475,0.5309,0.0004
T01,5.08,1.0324,0.5271,0.0226
T01,5.09,1.1562,0.5222,0.0106
T01,5.1,1.6728,0.5162,0.0009
T01,5.11,1.9009,0.509,0.018
T01,5.12,2.1508,0.5008,0.0297
T01,5.13,2.2994,0.4915,0.0133
T01,5.14,2.6421,0.4811,0.0026
T01,5.15,3.1785,0.4697,-0.0236
T01,5.16,3.3906,0.4573,-0.0184
T01,5.17,3.3503,0.4439,-0.003
T01,5.18,3.8129,0.4296,-0.0089
T01,5.19,4.1818,0.4143,-0.0002
T01,5.2,3.927,0.3982,0.0049
T01,5.21,4.5893,0.3813,0.0145
T01,5.22,4.5577,0.3635,0.0027
T01,5.23,5.0033,0.345,0.014
T01,5.24,4.9246,0.3257,0.0057
T01,5.25,4.8929,0.3058,-0.0349
T01,5.26,5.0933,0.2853,-0.0141
T01,5.27,5.5812,0.2641,0.002
T01,5.28,5.764,0.2424,-0.0192
T01,5.29,5.659,0.2203,0.0171
T01,5.3,6.0824,0.1976,0.0358
T01,5.31,5.724,0.1746,0.0297
T01,5.32,6.1314,0.1513,0.0011
T01,5.33,5.9772,0.1276,0.0352
T01,5.34,6.1501,0.1038,0.0085
T01,5.35,6.3373,0.0797,-0.0012
T01,5.36,6.1891,0.0555,-0.0067
T01,5.37,6.3038,0.0312,-0.0005
T01,5.38,6.5876,0.0069,-0.0022
T01,5.39,6.2627,-0.0174,0.009
T01,5.4,6.523,-0.0416,0.0088
T01,5.41,6.0939,-0.0657,0.0056
T01,5.42,6.3761,-0.0895,0.0142
T01,5.43,6.4951,-0.1132,0.0292
T01,5.44,5.6358,-0.1366,0.0243
T01,5.45,5.8808,-0.1596,-0.0244
T01,5.46,6.0526,-0.1823,-0.0459
T01,5.47,5.7809,-0.2045,0.0238
T01,5.48,5.7675,-0.2262,-0.0224
T01,5.49,5.4321,-0.2474,0.0004
T01,5.5,5.418,-0.268,-0.0187
T01,5.51,5.2058,-0.288,-0.0315
T01,5.52,5.2956,-0.3074,0.0152
T01,5.53,4.9272,-0.326,0.0194
T01,5.54,4.7479,-0.3439,-0.0074
T01,5.55,4.3922,-0.3611,-0.0479
T01,5.56,4.1618,-0.3774,-0.0072
T01,5.57,3.9487,-0.3928,0.0114
T01,5.58,3.8816,-0.4074,-0.0263
T01,5.59,3.478,-0.4211,0.0068
T01,5.6,3.3723,-0.4338,0.0026
T01,5.61,3.4748,-0.4456,0.0143
T01,5.62,2.9731,-0.4563,0.0048
T01,5.63,2.4672,-0.4661,-0.0173
T01,5.64,2.501,-0.4748,0.0259
T01,5.65,1.9031,-0.4825,-0.0014
T01,5.66,1.2971,-0.4891,0.0009
T01,5.67,1.2199,-0.4947,-0.0174
T01,5.68,0.7616,-0.4991,-0.0079
T01,5.69,0.7776,-0.5025,-0.017
T01,5.7,0.5624,-0.5047,-0.003
T01,5.71,0.6041,-0.5059,0.0345
T01,5.72,0.0442,-0.5059,-0.0275
T01,5.73,-0.3545,-0.5049,-0.0325
T01,5.74,-0.4331,-0.5027,0.0289
T01,5.75,-1.3278,-0.4995,-0.005
T01,5.76,-1.1226,-0.4952,-0.0144
T01,5.77,-1.2966,-0.4898,0.0195
T01,5.78,-2.024,-0.4833,-0.0136
T01,5.79,-1.7728,-0.4758,0.0348
T01,5.8,-2.2023,-0.4673,0.0116
T01,5.81,-2.6161,-0.4578,-0.012
T01,5.82,-2.6636,-0.4473,0.0407
T01,5.83,-2.5866,-0.4358,-0.0148
T01,5.84,-3.2479,-0.4234,0.012
T01,5.85,-3.4706,-0.4101,0.0029
T01,5.86,-3.8401,-0.3959,0.0228
T01,5.87,-4.1376,-0.3809,0.0278
T01,5.88,-4.0119,-0.3651,-0.003
T01,5.89,-4.5501,-0.3485,-0.0189
T01,5.9,-4.5556,-0.3312,0.0052
T01,5.91,-4.8462,-0.3132,-0.0177
T01,5.92,-4.825,-0.2946,0.036
T01,5.93,-5.0132,-0.2753,-0.0017
T01,5.94,-5.0202,-0.2555,-0.0119
T01,5.95,-5.4659,-0.2351,-0.001
T01,5.96,-5.5421,-0.2143,-0.0317
T01,5.97,-5.796,-0.193,-0.0243
T01,5.98,-5.7888,-0.1714,0.019
T01,5.99,-5.7116,-0.1494,-0.0182
T01,6.0,-5.71,-0.1271,-0.0261
